Epoch,Train_loss,Test_loss
5,7883.153215122223,9150.38838880062
6,7881.5325106620785,9148.974008512498
7,7883.440879440308,9148.31249434948
8,7879.044212818146,9154.531497520209
9,7878.412313652038,9146.562035351992
10,7876.714210033417,9142.311991238594
11,7879.918008899689,9147.242035973071
12,7875.837919425964,9141.32197392583
13,7874.272470092774,9142.806436872483
14,7872.239609718323,9138.100283032656
15,7871.12413482666,9135.849691694975
16,7873.1604720115665,9135.97703974843
17,7870.640190410614,9135.355097728967
18,7866.467344141007,9137.77349073887
